Year,Germany,France,Italy,Spain,Netherlands,Switzerland,Poland,Sweden,Belgium
2008-01-01,3103957698735.13,2259256991361.58,2089717925618.93,1528583945708.69,763407743799.947,402150900606.745,698099544956.881,386963027392.913,405729462246.522
2009-01-01,3018205018720.86,2246074865218.48,2046839852007.77,1489328542180.25,737252338565.806,401194159526.313,734838882078.915,373677706110.435,407954861225.586
2010-01-01,3187561994873.85,2336237107185.55,2085496212846.81,1476667689923.04,748922932716.248,415560756626.075,801336653343.38,395859198879.47,434371355469.353
2011-01-01,3415020684916.05,2446475413051.0,2173169963370.93,1489595017146.76,777880906388.857,444548757851.532,869769693309.293,420524687693.704,451932718764.387
2012-01-01,3487232707438.34,2474003939353.38,2172383785077.79,1483646917303.62,792042289740.032,462614986499.979,907167369644.705,431269677015.028,469720618339.766
2013-01-01,3628559701800.76,2608522466158.15,2187377576803.98,1512074688796.68,827475738129.662,486238615990.985,940325020076.099,442946650381.655,487343797679.386
2014-01-01,3807112936430.42,2662033396692.53,2200255257934.9,1558305994181.4,830318571509.821,506894811123.135,973566357429.12,456159762011.135,503619406808.679
2015-01-01,3895127090047.34,2719223033898.26,2241524993398.74,1621504088407.1,852113154375.18,529568029941.981,1020164418525.45,479915178567.394,521017424704.67
2016-01-01,4163898794181.89,2863816346909.39,2420145300914.2,1733039369294.66,890398578051.304,550296734177.089,1073913831246.99,500460136014.395,550989130573.939
2017-01-01,4381793826850.42,2994453563106.2,2529516776275.05,1843952249000.96,948181470187.003,567448869241.539,1144687674834.63,529968800848.859,577535293364.163
2018-01-01,4514794305292.67,3110915153133.67,2585936449485.19,1894494241788.17,991941839767.178,590532232220.316,1205917498455.01,547506563225.685,597433148965.971
